video_time,x_rot,y_rot,z_rot,quat_x,quat_y,quat_z,quat_w,left_eye_vector_x,left_eye_vector_y,left_eye_vector_z,right_eye_vector_x,right_eye_vector_y,right_eye_vector_z,left_eye_texture_x,left_eye_texture_y,right_eye_texture_x,right_eye_texture_y
2.861001,3.239182,155.6222,357.1725,-0.01814021,0.9769162,-0.03282485,0.2103053,0.4120922,-0.05650427,-0.9093884,0.4120922,-0.05650427,-0.9093884,618.5392,987.1727,618.5392,987.1727
2.889501,3.234626,155.6514,357.2238,-0.01771993,0.9769787,-0.03268742,0.2100721,0.4116304,-0.05642489,-0.9096025,0.4116304,-0.05642489,-0.9096025,618.8721,987.2231,618.8721,987.2231
2.918324,3.235798,155.6733,357.2798,-0.0172468,0.9770271,-0.03259151,0.2099012,0.4112824,-0.05644532,-0.9097586,0.4112824,-0.05644532,-0.9097586,619.1216,987.209,619.1216,987.209
2.946627,3.220885,155.7246,357.3359,-0.01681059,0.9771322,-0.03235413,0.2094836,0.4104742,-0.05618543,-0.9101397,0.4104742,-0.05618543,-0.9101397,619.7057,987.3759,619.7057,987.3759
2.975921,3.14644,155.8078,357.3776,-0.01661493,0.9773046,-0.03163122,0.208804,0.4091813,-0.05488813,-0.9108007,0.4091813,-0.05488813,-0.9108007,620.6523,988.2159,620.6523,988.2159
3.004157,3.086126,155.8922,357.3792,-0.01673486,0.9774698,-0.03110175,0.2080995,0.407863,-0.05383701,-0.9114546,0.407863,-0.05383701,-0.9114546,621.613,988.896,621.613,988.896
3.032422,3.028329,155.9787,357.4079,-0.01661809,0.9776418,-0.03054406,0.2073827,0.406507,-0.05282969,-0.912119,0.406507,-0.05282969,-0.912119,622.5994,989.5476,622.5994,989.5476
3.060935,2.923591,156.072,357.4066,-0.01684445,0.9778289,-0.02963949,0.2066122,0.4050612,-0.05100414,-0.9128658,0.4050612,-0.05100414,-0.9128658,623.6604,990.7314,623.6604,990.7314
3.090067,2.809175,156.1452,357.4011,-0.01711658,0.9779796,-0.02866225,0.2060132,0.4039346,-0.0490097,-0.9134741,0.4039346,-0.0490097,-0.9134741,624.4936,992.0263,624.4936,992.0263
3.11845,2.751027,156.235,357.3907,-0.01733299,0.9781488,-0.02817133,0.2052579,0.4025222,-0.04799604,-0.9141511,0.4025222,-0.04799604,-0.9141511,625.5182,992.6824,625.5182,992.6824
3.146831,2.684833,156.3303,357.3632,-0.01770932,0.9783258,-0.02764083,0.2044532,0.4010225,-0.04684202,-0.9148698,0.4010225,-0.04684202,-0.9148698,626.6062,993.4296,626.6062,993.4296
3.175124,2.632065,156.3856,357.3229,-0.01816162,0.9784263,-0.02725367,0.2039839,0.4001564,-0.04592204,-0.9152956,0.4001564,-0.04592204,-0.9152956,627.2373,994.0264,627.2373,994.0264
3.206172,2.575445,156.4181,357.31,-0.01838084,0.9784906,-0.02678812,0.2037174,0.3996558,-0.04493485,-0.9155632,0.3996558,-0.04493485,-0.9155632,627.6072,994.6679,627.6072,994.6679
3.232717,2.579904,156.4457,357.3407,-0.01811692,0.9785439,-0.02676719,0.2034876,0.3992129,-0.04501259,-0.9157526,0.3992129,-0.04501259,-0.9157526,627.9233,994.6161,627.9233,994.6161
3.261206,2.575553,156.4533,357.3134,-0.01836002,0.9785537,-0.0267774,0.2034177,0.3990934,-0.04493673,-0.9158084,0.3990934,-0.04493673,-0.9158084,628.0096,994.6652,628.0096,994.6652
3.290176,2.601182,156.4411,357.3104,-0.01833642,0.9785277,-0.02700335,0.2035145,0.3992794,-0.0453836,-0.9157054,0.3992794,-0.0453836,-0.9157054,627.8713,994.3748,627.8713,994.3748
3.319649,2.652692,156.4153,357.3095,-0.01824584,0.9784738,-0.02744879,0.2037224,0.3996756,-0.04628166,-0.9154875,0.3996756,-0.04628166,-0.9154875,627.5771,993.791,627.5771,993.791
3.346997,2.66924,156.387,357.3272,-0.01805863,0.9784237,-0.02756311,0.2039642,0.4001223,-0.04657017,-0.9152777,0.4001223,-0.04657017,-0.9152777,627.2539,993.6042,627.2539,993.6042
3.375169,2.738377,156.3776,357.386,-0.01743095,0.9784049,-0.02805014,0.2040421,0.4002495,-0.04777549,-0.9151601,0.4002495,-0.04777549,-0.9151601,627.1481,992.8199,627.1481,992.8199
3.403811,2.792408,156.3647,357.3822,-0.01736283,0.9783725,-0.02851995,0.2041384,0.400437,-0.04871741,-0.9150283,0.400437,-0.04871741,-0.9150283,627.002,992.2072,627.002,992.2072
3.432967,2.830973,156.294,357.3247,-0.01776663,0.9782311,-0.02896248,0.2047183,0.4015527,-0.04938968,-0.9145032,0.4015527,-0.04938968,-0.9145032,626.1948,991.7726,626.1948,991.7726
3.46115,2.882291,156.202,357.2892,-0.01795381,0.978052,-0.02947831,0.2054822,0.4030031,-0.05028426,-0.9138162,0.4030031,-0.05028426,-0.9138162,625.1445,991.1943,625.1445,991.1943
3.490083,2.931716,156.1015,357.2617,-0.01807389,0.9778587,-0.02996537,0.2063201,0.4045869,-0.05114577,-0.9130683,0.4045869,-0.05114577,-0.9130683,623.9985,990.638,623.9985,990.638
3.518245,2.983452,155.9175,357.2126,-0.01834978,0.9775091,-0.03052454,0.2078639,0.407498,-0.05204753,-0.9117217,0.407498,-0.05204753,-0.9117217,621.8994,990.0591,621.8994,990.0591
3.547192,3.031238,155.6186,357.1488,-0.01872612,0.9769447,-0.03109681,0.2103836,0.4122311,-0.0528804,-0.9095435,0.4122311,-0.0528804,-0.9095435,618.4907,989.5294,618.4907,989.5294
3.575218,3.092197,155.2915,357.1188,-0.01877831,0.9763243,-0.03172508,0.2131474,0.4173935,-0.05394284,-0.9071234,0.4173935,-0.05394284,-0.9071234,614.764,988.851,614.764,988.851
3.603989,3.186788,154.9459,357.1696,-0.01807074,0.9756675,-0.03249095,0.2160804,0.4228195,-0.05559126,-0.9045073,0.4228195,-0.05559126,-0.9045073,610.8318,987.7917,610.8318,987.7917
3.632372,3.2763,154.5987,357.2738,-0.01691348,0.9750069,-0.03310776,0.219042,0.428255,-0.05715106,-0.9018489,0.428255,-0.05715106,-0.9018489,606.8851,986.7897,606.8851,986.7897
3.661127,3.409569,154.2712,357.3494,-0.01591616,0.9743608,-0.03414237,0.2218154,0.4333432,-0.05947307,-0.8992645,0.4333432,-0.05947307,-0.8992645,603.1691,985.2912,603.1691,985.2912
3.689572,3.534603,154.0526,357.4295,-0.01492493,0.9739199,-0.03507874,0.2236668,0.4367143,-0.06165134,-0.8974853,0.4367143,-0.06165134,-0.8974853,600.692,983.8828,600.692,983.8828
3.718185,3.627666,153.9057,357.5177,-0.01394674,0.9736229,-0.03571515,0.2249185,0.4389678,-0.06327242,-0.8962722,0.4389678,-0.06327242,-0.8962722,599.0306,982.8342,599.0306,982.8342
3.746701,3.706352,153.7525,357.5995,-0.01304783,0.9733129,-0.03624039,0.2262266,0.4413243,-0.06464294,-0.8950163,0.4413243,-0.06464294,-0.8950163,597.3,981.9482,597.3,981.9482
3.775151,3.791918,153.6131,357.6347,-0.01253421,0.9730205,-0.03691276,0.2274016,0.4434582,-0.06613313,-0.8938519,0.4434582,-0.06613313,-0.8938519,595.7147,980.9841,595.7147,980.9841
3.805157,3.850331,153.508,357.6494,-0.01225892,0.9727991,-0.03739078,0.2282844,0.4450664,-0.06715038,-0.8929763,0.4450664,-0.06715038,-0.8929763,594.5181,980.3262,594.5181,980.3262
3.833798,3.901788,153.4167,357.6766,-0.01189427,0.9726071,-0.03778264,0.2290556,0.446461,-0.06804642,-0.892212,0.446461,-0.06804642,-0.892212,593.4791,979.7465,593.4791,979.7465
3.861227,3.921907,153.326,357.6947,-0.01167036,0.9724224,-0.03792645,0.2298263,0.4478616,-0.06839675,-0.8914829,0.4478616,-0.06839675,-0.8914829,592.4492,979.5209,592.4492,979.5209
3.890252,3.919155,153.2484,357.7239,-0.01140261,0.9722701,-0.0378523,0.2304953,0.4490705,-0.06834882,-0.8908783,0.4490705,-0.06834882,-0.8908783,591.5687,979.5535,591.5687,979.5535
3.923368,3.908541,153.209,357.7543,-0.01115338,0.9721963,-0.03770502,0.2308425,0.4496894,-0.068164,-0.8905802,0.4496894,-0.068164,-0.8905802,591.1219,979.6743,591.1219,979.6743
3.94712,3.883041,153.1856,357.7399,-0.01131886,0.9721541,-0.0375199,0.2310424,0.4044511,-0.2037132,-0.891583,0.4037911,-0.1289143,-0.9057229,618.4313,889.9745,622.7554,939.699
